expression; size; sliced on; sign slice; sign size; sign time (ns) ; parity slice; parity size; parity time ; concrete slice; concrete size; concrete time 
(let* ((pezgm 20) (ik (begin 25 4 15)) (vbm (begin 18 -24)) (usl -23) (dfguu -7) (rwqyp -11)) vbm);13;-25;(let* ((rwqyp -11)) '());3;200;(let* ((rwqyp -11)) '());3;200;(let* ((rwqyp -11)) '());3;100
(let* ((ft (if #t 25 -22)) (alrppb (+ (/ 18 0) -22)) (plaw -19) (idjnyf -29)) 4);15;9;(let* ((alrppb (+ (/ 18 0) -22))) '());9;500;(let* ((alrppb (+ (/ 18 0) -22))) '());9;300;(let* ((alrppb (+ (/ 18 0) -22))) '());9;200
(letrec* ((olgs (* 18 29)) (yosme -29) (jjq -23) (qtof -28) (sgdmg -29)) (* (* (* -13 (+ (* (/ qtof jjq) 8) (if (< (* jjq jjq) yosme) 21 -6))) (if (= 9 -12) 14 (- (letrec* () (/ (- 26 sgdmg) -26)) (if (= (/ sgdmg 15) -17) (- qtof 18) (if #t (- 5 yosme) (/ 15 olgs)))))) 22));74;-1;(letrec* ((olgs (dummy 2)) (yosme -29) (jjq -23) (qtof -28) (sgdmg -29)) (* (* (* -13 (+ (* (/ qtof jjq) 8) (if (< (* jjq jjq) yosme) 21 -6))) (if (= 9 -12) 14 (- (letrec* () (/ (- 26 sgdmg) -26)) (if (= (/ sgdmg 15) -17) (- qtof 18) (if #t (- 5 yosme) (/ 15 olgs)))))) 22));73;200;(letrec* ((olgs (dummy 2)) (yosme -29) (jjq -23) (qtof -28) (sgdmg -29)) (* (* (* -13 (+ (* (/ qtof jjq) 8) (if (< (* jjq jjq) yosme) 21 -6))) (if (= 9 -12) 14 (- (letrec* () (/ (- 26 sgdmg) -26)) (if (= (/ sgdmg 15) -17) (- qtof 18) (if #t (- 5 yosme) (/ 15 olgs)))))) 22));73;200;(letrec* ((olgs (dummy 2)) (yosme -29) (jjq -23) (qtof -28) (sgdmg -29)) (* (* (* -13 (+ (* (/ qtof jjq) 8) (if (< (* jjq jjq) yosme) 21 -6))) (if (= 9 -12) 14 (- (letrec* () (/ (- 26 sgdmg) -26)) (if (= (/ sgdmg 15) -17) (- qtof 18) (if #t (- 5 yosme) (/ 15 olgs)))))) 22));73;300
(let ((gnkce (let ((p 21) (l -28)) -20)) (eig 27) (gqjlem (* -5 5)) (t -6) (r -29)) -5);13;0;(let ((gnkce (let () -20))) '());4;200;(let ((gnkce (let () -20))) '());4;200;(let ((gnkce (let () -20))) '());4;100
(letrec* ((ychvyy -29) (kxcge (/ 0 (if #t (* -20 -15) 4))) (c 26) (hcli -20) (u 6)) -22);16;-12;(letrec* ((hcli -20)) '());3;200;(letrec* ((hcli -20)) '());3;200;(letrec* ((hcli -20)) '());3;200
(let ((pb -28) (ongj (if #f -11 (begin 27 -15))) (qxgi (begin -19 7)) (vun (/ -29 -5)) (wmpjl 30)) (if (< qxgi pb) (/ (+ -12 26) vun) (+ -6 vun)));32;-1;(let ((pb -28) (qxgi (begin 7)) (wmpjl 30)) '());6;200;(let ((pb -28) (qxgi (begin 7)) (wmpjl 30)) '());6;300;(let ((pb -28) (qxgi (begin 7)) (wmpjl 30)) '());6;500
(letrec* ((rm -24) (lsj (- 30 (letrec* () -7))) (johnx (/ 28 (if #f 6 9))) (drgo -22) (i 28)) (+ -3 drgo));20;-11;(letrec* ((lsj (- 30 (letrec* () -7))) (i 28)) '());8;300;(letrec* ((lsj (- 30 (letrec* () -7))) (i 28)) '());8;100;(letrec* ((lsj (- 30 (letrec* () -7))) (i 28)) '());8;100
(let* ((acm (/ (begin -23 27) (begin 10 -17 -24))) (hn (letrec* ((fvc 30)) 18)) (rzk 8) (opcspx (begin 30 27)) (hv (/ -9 -16)) (b -17)) (let* ((lctx 19) (tebij -16) (bazd 12)) (+ -14 rzk)));30;23;(let* ((hn (letrec* () 18)) (b -17)) '());5;400;(let* ((hn (letrec* () 18)) (b -17)) '());5;100;(let* ((hn (letrec* () 18)) (b -17)) '());5;200
(letrec* ((qus 24) (pnskkk (if #t 14 (- (- (if #f -17 21) -3) (if #t (+ 0 20) (if #f 11 7))))) (vydn (if (= 18 -13) (- -16 19) (if #f 3 17))) (stnquv 25) (q 30) (lgow 17)) (* -25 (begin (if (= (/ (- -17 (- (/ stnquv -2) vydn)) (/ pnskkk lgow)) 26) (/ (/ (/ (/ -18 25) stnquv) (* -11 (/ -20 pnskkk))) (+ -20 stnquv)) (/ 14 23)) (set! vydn (/ vydn -3)) (set! stnquv (- (/ 25 25) (/ 13 vydn))) (- lgow qus))));110;25;(letrec* ((pnskkk (if #t 14 (- (- (if #f -17 21) -3) (if #t (+ 0 20) (if #f 11 7))))) (vydn (if (= 18 -13) (- -16 19) (if #f 3 17))) (stnquv 25) (lgow 17)) '());39;200;(letrec* ((qus 24) (pnskkk (if #t 14 (- (- (if #f -17 21) -3) (if #t (+ 0 20) (if #f 11 7))))) (vydn (if (= 18 -13) (- -16 19) (if #f 3 17))) (stnquv 25) (lgow 17)) (* -25 (begin (set! vydn (/ vydn -3)) (- lgow qus))));52;100;(letrec* ((qus 24) (pnskkk (if #t 14 (- (- (if #f -17 21) -3) (if #t (+ 0 20) (if #f 11 7))))) (vydn (if (= 18 -13) (- -16 19) (if #f 3 17))) (stnquv 25) (lgow 17)) (* -25 (begin (set! vydn (/ vydn -3)) (- lgow qus))));52;1500
(letrec* ((wix (- (begin -14 -11) (begin 21 13))) (rln (letrec* () 16)) (tmtxr -14) (le -30)) (begin (set! rln (if #t (- tmtxr 25) tmtxr)) (set! rln -25) (set! le (+ le (+ (/ (* (+ (* -7 wix) (- 28 -29)) (/ le wix)) -26) -17))) -19));51;11;(letrec* ((wix (- (begin -11) (begin 13))) (rln (letrec* () 16)) (le -30)) (begin (set! le (+ le (+ (/ (* (+ (* -7 wix) (- 28 -29)) (/ le wix)) -26) -17)))));37;300;(letrec* ((wix (- (begin -11) (begin 13))) (rln (letrec* () 16)) (le -30)) (begin (set! le (+ le (+ (/ (* (+ (* -7 wix) (- 28 -29)) (/ le wix)) -26) -17)))));37;200;(letrec* ((wix (- (begin -11) (begin 13))) (rln (letrec* () 16)) (tmtxr -14) (le -30)) (begin (set! le (+ le (+ (/ (* (+ (* -7 wix) (- 28 -29)) (/ le wix)) -26) -17)))));38;100
(let ((il (begin -17 27)) (t -3) (u -17) (j -1)) (let* ((qcyf (if (< -23 (* t -29)) (+ (+ t -14) t) (let* () (/ (/ (* 18 il) t) (/ -28 -3))))) (otxyok (- (- 18 j) 17)) (aj (/ u -18)) (hj -18)) (begin (set! otxyok otxyok) 27 il)));54;15;(let ((il (dummy 2)) (t -3)) (let* ((qcyf (if (< -23 (* t -29)) (+ (+ t -14) t) (let* () (/ (/ (* 18 il) t) (/ -28 -3))))) (otxyok (dummy 6)) (hj -18)) (begin (set! otxyok otxyok))));42;300;(let ((il (dummy 1)) (t -3)) (let* ((qcyf (if (< -23 (* t -29)) (+ (+ t -14) t) (let* () (/ (/ (* 18 il) t) (/ -28 -3))))) (otxyok (dummy 6)) (hj -18)) (begin (set! otxyok otxyok))));42;500;(let ((il (begin 27)) (t -3) (u -17) (j -1)) (let* ((qcyf (if (< -23 (* t -29)) (+ (+ t -14) t) (let* () (/ (/ (* 18 il) t) (/ -28 -3))))) (otxyok (- (- 18 j) 17)) (hj -18)) (begin (set! otxyok otxyok))));47;200
(let ((s (if #f (if #t 22 (begin 24 -14 28)) 1)) (m (/ -24 (let* ((fcg 10)) (- (- 26 28) fcg)))) (z 23) (o -20) (pwkl (if #f 29 -24)) (ef 5)) 27);31;-9;(let ((m (/ -24 (let* ((fcg 10)) (- (- 26 28) fcg)))) (o -20)) '());15;200;(let ((m (/ -24 (let* ((fcg 10)) (- (- 26 28) fcg)))) (o -20)) '());15;200;(let ((m (/ -24 (let* ((fcg 10)) (- (- 26 28) fcg)))) (o -20)) '());15;200
