expression; size; sliced on; sign slice; sign size; sign time (ns) ; parity slice; parity size; parity time ; concrete slice; concrete size; concrete time 
(let ((m (if #f (if #f (if #t 25 (begin -27 14)) (if #f -9 (/ -23 -26))) -17)) (lskj 28) (cigrov (- (* (if #f -4 21) -19) (- -21 1))) (cb (if (= 11 -1) -22 -28)) (vapu 10) (setwy 16)) (* -9 -7));46;-30;(let ((m (if #f (if #f (if #t 25 (begin 14)) (if #f -9 (/ -23 -26))) -17))) '());19;900;(let ((m (if #f (if #f (if #t 25 (begin 14)) (if #f -9 (/ -23 -26))) -17))) '());19;400;(let ((m (if #f (if #f (if #t 25 (begin 14)) (if #f -9 (/ -23 -26))) -17))) '());19;700
(let* ((ipbly (/ -14 (+ (begin -19 -4) (- (if #t -20 21) (* -8 10))))) (abdk (begin -5 3 -1)) (s (+ (+ 14 -10) 21)) (l -23) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8)) 20 (/ -23 0) ipbly));47;19;(let* ((ipbly (dummy 3)) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8))));14;200;(let* ((ipbly (dummy 0)) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8))));14;100;(let* ((ipbly (/ -14 (+ (begin -4) (- (if #t -20 21) (* -8 10))))) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8))));28;200
(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (u (if (= 7 -4) (if (< 10 17) (begin -11 -28) (- 11 -18)) (begin -1 15 1))) (mah -25) (wnjng 18) (o (- -19 -6)) (aerk 9)) wnjng);57;26;(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (mah -25)) '());30;200;(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (mah -25)) '());30;100;(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (mah -25)) '());30;300
(letrec* ((f (begin 2 -10 -28 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* ((j ji)) 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (set! msuhy (/ -11 -16)) (- (- ji 22) (* -17 23)) (* -27 25))))));114;4;(letrec* ((f (begin 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* () 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (* -27 25))))));95;200;(letrec* ((f (begin 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* () 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (* -27 25))))));95;200;(letrec* ((f (begin 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* () 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (* -27 25))))));95;200
(letrec* ((s 6)) 2);3;12;(letrec* ((s 6)) '());3;200;(letrec* ((s 6)) '());3;1100;(letrec* ((s 6)) '());3;200
(let ((hc (begin (begin 16 -4) (if #t 18 -10) 18 -23)) (pmonpm 0) (dn 22) (dfd -4) (izfw 2)) 6);16;15;(let ((hc (begin -23))) '());4;200;(let ((hc (begin -23))) '());4;200;(let ((hc (begin -23))) '());4;300
(letrec* ((kdzua (/ (begin 21 -8) (if #t 2 -27))) (otxiu (if #f -4 16)) (jmg 14) (x -28)) 11);17;22;(letrec* ((jmg 14)) '());3;100;(letrec* ((jmg 14)) '());3;200;(letrec* ((jmg 14)) '());3;200
(let ((yecl (let* ((t 5)) (+ t (begin -3 30)))) (mvuyig 3) (vpu (* (if #t (if #f -12 4) (if #t 30 -8)) (if (< 18 -20) -18 7))) (lcb (begin 4 -3)) (nr -15) (mi 13)) 5);35;15;(let ((yecl (let* ((t 5)) (+ t (begin 30)))) (lcb (begin -3))) '());11;200;(let ((yecl (let* ((t 5)) (+ t (begin 30)))) (lcb (begin -3))) '());11;200;(let ((yecl (let* ((t 5)) (+ t (begin 30)))) (lcb (begin -3))) '());11;200
(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin 23 -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb)))))) (p -24) (dlgslu -27) (bxrgy -7) (yojk -13)) dlgslu);49;24;(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb))))))) '());44;300;(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb))))))) '());44;200;(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb))))))) '());44;200
(let ((xwbqv (+ (+ -14 10) -24)) (hdk -13) (phmfjo 0)) (begin (set! xwbqv 2) phmfjo));14;-11;(let ((hdk -13)) '());3;300;(let ((hdk -13)) '());3;200;(let ((hdk -13)) '());3;200
(let* ((hrj -13) (mae (+ (begin 9 -5) -4)) (woov -7) (jez 27) (rh (- -12 30)) (gkcfru -6)) (begin (- -6 (if #f 29 (- (/ -22 -10) hrj))) (- (* -12 -3) woov) (set! gkcfru (+ (* 12 hrj) (+ (+ woov -29) -14))) 0));51;-6;(let* ((hrj -13)) '());3;500;(let* ((hrj -13)) '());3;100;(let* ((hrj -13) (woov -7)) '());4;200
(letrec* ((fd 27) (hotu (if #t -1 (* (begin -5 7) -7))) (hqhcdj (* (if (< -29 -6) 11 -9) (+ 18 (* -14 25)))) (gx (- (+ -10 17) 10)) (rsnepz (if #t -21 -15)) (umxy 10)) 15);40;9;(letrec* ((gx (- (+ -10 17) 10))) '());9;200;(letrec* ((gx (- (+ -10 17) 10))) '());9;300;(letrec* ((gx (- (+ -10 17) 10))) '());9;400
(let ((f (begin 1 3 4)) (yzy (if (= 6 7) (if (< 21 23) -4 -23) -19)) (hm -9) (szspz (if #f 5 8)) (bzod -6)) (- (if (= 19 (* szspz f)) (+ -20 1) -15) (/ (/ 21 (/ (+ -17 f) (* hm (+ (* (/ 3 13) (/ (- szspz -24) (- (/ f -12) 23))) 2)))) (+ 26 (- szspz 21)))));82;20;(let ((f (begin 4)) (szspz (if #f 5 8))) '());8;200;(let ((f (begin 4)) (szspz (if #f 5 8))) '());8;300;(let ((f (begin 4)) (szspz (if #f 5 8))) '());8;300
(letrec* ((smhjf (/ 11 18)) (jkhd 19) (gxvvxh (let* () 5)) (g (if #t 7 -3)) (bj 28)) (/ gxvvxh (/ (+ (+ (begin (* 28 smhjf) jkhd) (if (= 23 bj) (/ -7 (/ -8 smhjf)) jkhd)) (/ (+ (+ g 6) g) -6)) (- g (begin gxvvxh (+ bj bj))))));60;-16;(letrec* ((gxvvxh (let* () 5)) (bj 28)) '());5;200;(letrec* ((gxvvxh (let* () 5)) (bj 28)) '());5;200;(letrec* ((gxvvxh (let* () 5)) (bj 28)) '());5;100
(let* ((upas -13) (eguv -28)) (- eguv (begin upas (* -20 eguv) (set! eguv -21) -20)));15;-29;(let* ((eguv -28)) (- eguv (begin (set! eguv -21) -20)));9;200;(let* ((eguv -28)) (- eguv (begin (set! eguv -21) -20)));9;200;(let* ((eguv -28)) (- eguv (begin (set! eguv -21) -20)));9;300
(letrec* ((chfiqi 8) (hk (/ (- (if (= 5 16) 5 28) (- (if #f 29 6) (* 0 12))) (- (if (< 26 6) (* -30 22) (/ 24 28)) -18))) (xhzg -14) (i (if #f -2 -27)) (yxpbq (if #f 18 1)) (sgwzr -8)) (if (< (- (- 26 (* (/ 8 (- chfiqi -19)) xhzg)) 10) i) (begin (- (/ -1 17) (+ (/ (/ chfiqi 6) -11) 22)) 15 chfiqi) (begin (/ (/ hk (* 29 (- 16 yxpbq))) hk) (set! xhzg (if #t -9 -19)) (+ hk 4) 18 24)));113;-15;(letrec* ((chfiqi 8) (xhzg -14) (i (if #f -2 -27))) '());8;200;(letrec* ((chfiqi 8) (xhzg -14) (i (if #f -2 -27))) '());8;200;(letrec* ((chfiqi 8) (xhzg -14) (i (if #f -2 -27))) '());8;200
(let* ((qnzgwq -30) (ot 4)) (* (letrec* ((ajcroa (+ -16 0)) (fr (* qnzgwq (* 8 -4))) (vr 5)) (- vr (/ (/ 16 -1) -6))) (let* ((mffnc (/ -19 -26)) (vkgbjx -25)) (/ -29 (+ mffnc (- -12 27))))));44;-3;(let* () (* (letrec* ((ajcroa (+ -16 0)) (vr 5)) (- vr (/ (/ 16 -1) -6))) (let* ((mffnc (dummy 2))) (/ -29 (+ mffnc (- -12 27))))));33;100;(let* () (* (letrec* ((ajcroa (+ -16 0)) (vr 5)) (- vr (/ (/ 16 -1) -6))) (let* ((mffnc (dummy 0))) (/ -29 (+ mffnc (- -12 27))))));33;600;(let* ((qnzgwq -30)) (* (letrec* ((ajcroa (+ -16 0)) (vr 5)) (- vr (/ (/ 16 -1) -6))) (let* ((mffnc (dummy 2))) (/ -29 (+ mffnc (- -12 27))))));34;200
(let* ((w 5) (xip 2) (azuc 3) (gd (- -7 -13)) (u -16)) (- (- (let* ((uzx (* -3 u)) (vnbd (/ 11 azuc))) (* (if #t gd azuc) azuc)) (begin (set! gd (- 4 gd)) xip -21 (* 21 (+ 1 -10)))) 12));45;27;(let* ((azuc 3) (gd (dummy 3))) (- (- (let* ((vnbd (/ 11 azuc))) (* (if #t gd azuc) azuc)) (begin (set! gd (- 4 gd)) (* 21 (+ 1 -10)))) 12));35;200;(let* ((azuc 3) (gd (dummy 2))) (- (- (let* ((vnbd (/ 11 azuc))) (* (if #t gd azuc) azuc)) (begin (set! gd (- 4 gd)) (* 21 (+ 1 -10)))) 12));35;300;(let* ((azuc 3) (gd (- -7 -13)) (u -16)) (- (- (let* ((vnbd (/ 11 azuc))) (* (if #t gd azuc) azuc)) (begin (set! gd (- 4 gd)) (* 21 (+ 1 -10)))) 12));37;200
(let ((qoj (- -12 (- 26 -29))) (jdmuns -2) (pxhbt (begin 10 -5)) (gyp (begin -21 -1)) (dwoe (+ -16 21)) (m 4)) (if #t (if (= (+ 16 qoj) 18) -7 (* (if #t 14 (* (+ 25 16) -13)) 20)) (+ dwoe -12)));48;-10;(let ((qoj (- -12 (- 26 -29))) (pxhbt (begin -5))) '());11;300;(let ((qoj (- -12 (- 26 -29))) (pxhbt (begin -5))) '());11;400;(let ((qoj (- -12 (- 26 -29))) (pxhbt (begin -5))) '());11;200
(let ((fzxy 14) (qcvlaw 15)) (- (begin (set! qcvlaw (- qcvlaw qcvlaw)) 18 fzxy) (begin (* fzxy (+ fzxy qcvlaw)) (set! fzxy 6) (set! qcvlaw (if #t -13 (- fzxy qcvlaw))) (set! fzxy qcvlaw) qcvlaw)));34;-2;(let ((fzxy 14) (qcvlaw 15)) (- (begin (set! qcvlaw (- qcvlaw qcvlaw)) fzxy) (begin (set! fzxy 6) (set! qcvlaw (if #t -13 (- fzxy qcvlaw))) (set! fzxy qcvlaw) qcvlaw)));26;600;(let ((fzxy 14) (qcvlaw 15)) (- (begin (set! qcvlaw (- qcvlaw qcvlaw)) fzxy) (begin (set! fzxy 6) (set! qcvlaw (if #t -13 (- fzxy qcvlaw))) (set! fzxy qcvlaw) qcvlaw)));26;200;(let ((fzxy 14) (qcvlaw 15)) (- (begin (set! qcvlaw (- qcvlaw qcvlaw)) fzxy) (begin (set! fzxy 6) (set! qcvlaw (if #t -13 (- fzxy qcvlaw))) (set! fzxy qcvlaw) qcvlaw)));26;100
(let ((x (if #t 12 (- 17 -24))) (ucniz -16) (hqbk 13)) ucniz);11;-27;(let ((x (if #t 12 (- 17 -24)))) '());9;100;(let ((x (if #t 12 (- 17 -24)))) '());9;200;(let ((x (if #t 12 (- 17 -24)))) '());9;100
(let ((zl (* 30 (begin 7 11))) (kxo (begin -28 15 1)) (j (/ -6 (- -2 -2))) (toklb -2) (rxpu 6)) toklb);21;7;(let ((j (/ -6 (- -2 -2)))) '());9;600;(let ((j (/ -6 (- -2 -2)))) '());9;200;(let ((j (/ -6 (- -2 -2)))) '());9;1000
(let* ((wxt (+ -28 (begin (if #f 19 3) -10 -1))) (yz (if (< 2 -17) (if (< -11 -29) (if #f -12 -25) (- -17 21)) (if (= 10 -12) 30 -10))) (bvxn (begin -14 -29)) (tiobhd -13) (ampchb -4)) yz);42;18;(let* ((tiobhd -13)) '());3;400;(let* ((tiobhd -13)) '());3;200;(let* ((tiobhd -13)) '());3;200
(let* ((zlsf -2) (jocco (- (if #f (if #f (* 29 23) -17) (* (/ -14 -16) -5)) (+ (begin -21 -15) (begin 10 6)))) (douwk (/ (letrec* () -9) (if #f (* -12 -24) (- -1 -12)))) (pqwxmd 3) (pifmrs 11) (kj 29)) douwk);46;21;(let* ((douwk (/ (letrec* () -9) (if #f (* -12 -24) (- -1 -12)))) (pqwxmd 3)) '());17;1000;(let* ((douwk (/ (letrec* () -9) (if #f (* -12 -24) (- -1 -12)))) (pqwxmd 3)) '());17;300;(let* ((douwk (/ (letrec* () -9) (if #f (* -12 -24) (- -1 -12)))) (pqwxmd 3)) '());17;200
(let* ((ui -14) (vwwv -3) (nptgg -6) (u (if #f 28 -5)) (ic (+ 30 -7)) (irf 4)) (begin 29 (let* () (- (+ 21 -5) nptgg)) (- -16 (/ vwwv vwwv)) ui (/ (* ic (* -18 nptgg)) -1)));41;11;(let* ((irf 4)) '());3;200;(let* ((irf 4)) '());3;200;(let* ((irf 4)) '());3;400
(letrec* ((t (if #f (if #t (begin -17 1) (if #f 25 22)) (if #f (/ (+ -3 15) (/ 29 -26)) (let* () 11)))) (udkfh -23) (k 16) (yqed (if #t -30 12)) (cuvrn 5)) (let* ((u (if #f (if #f cuvrn t) (if #f (- yqed (/ (- -7 1) (/ 10 (- udkfh cuvrn)))) (+ k (* 11 cuvrn))))) (scqx -20) (vgxrr (* 5 (+ cuvrn -24))) (i udkfh)) (/ 7 20)));78;-18;(letrec* ((t (if #f (if #t (begin 1) (if #f 25 22)) (if #f (/ (+ -3 15) (/ 29 -26)) (let* () 11)))) (cuvrn 5)) '());27;100;(letrec* ((t (if #f (if #t (begin 1) (if #f 25 22)) (if #f (/ (+ -3 15) (/ 29 -26)) (let* () 11)))) (cuvrn 5)) '());27;400;(letrec* ((t (if #f (if #t (begin 1) (if #f 25 22)) (if #f (/ (+ -3 15) (/ 29 -26)) (let* () 11)))) (udkfh -23) (k 16) (yqed (if #t -30 12)) (cuvrn 5)) '());33;100
(let* ((x (if #t -9 15)) (xpyhe -3) (tfzrmh -9)) (* x -29));11;26;(let* ((tfzrmh -9)) '());3;100;(let* ((tfzrmh -9)) '());3;300;(let* ((tfzrmh -9)) '());3;300
(let ((xed -28) (lp -27) (szlhd 9)) (/ (+ -9 lp) lp));11;-21;(let ((xed -28)) '());3;500;(let ((xed -28)) '());3;200;(let ((xed -28)) '());3;400
(letrec* ((ekerrn (if #f 12 (- 17 -1))) (fmj -21) (uqd -14) (xd (/ 2 4)) (nsl 14)) -4);16;18;(letrec* ((xd (/ 2 4))) '());6;200;(letrec* ((xd (/ 2 4))) '());6;500;(letrec* ((xd (/ 2 4))) '());6;200
(letrec* ((byw (begin 9 18 28)) (v (if (= -23 24) (begin 5 17) -2)) (bf 4) (fgvor (begin 22 -11)) (ea -7) (z 22)) byw);21;-18;(letrec* ((byw (begin 28))) '());4;200;(letrec* ((byw (begin 28))) '());4;100;(letrec* ((byw (begin 28))) '());4;400
(letrec* ((q (if #t (begin (if #f -17 18) -19 -11) (/ -25 -18))) (t (if #t 1 27)) (b (letrec* () -21)) (o (/ 1 -12)) (pyr -24)) (if #f (begin (begin -16 (- -3 28)) -12 8 12) b));38;-6;(letrec* ((b (letrec* () -21)) (pyr -24)) '());5;500;(letrec* ((b (letrec* () -21)) (pyr -24)) '());5;100;(letrec* ((b (letrec* () -21)) (pyr -24)) '());5;200
(let* ((mn 18) (dyvt 6) (knd (begin 0 29)) (kf 11) (wogs -28)) (letrec* ((x (begin (set! knd mn) (- kf dyvt))) (szhcrf (+ dyvt (+ dyvt 8))) (grxs -23)) (if (= grxs -30) (begin -19 (/ -1 grxs)) (+ (+ (- wogs -9) (/ knd -1)) -12))));48;23;(let* () (letrec* ((grxs -23)) '()));4;200;(let* () (letrec* ((grxs -23)) '()));4;300;(let* ((mn 18) (dyvt 6) (kf 11)) (letrec* ((grxs -23)) '()));7;200
(let* ((g (+ (* 12 9) (if #f (/ 10 (begin 8 17)) -4))) (vaaau 28) (x 20) (nd (/ (if #f 9 -19) 10)) (gvwj 0) (vpmx -19)) (begin (set! x (letrec* ((lykbn vaaau)) (if (= lykbn lykbn) -28 (+ (+ -12 (* vaaau (/ (* (+ nd -1) 6) (/ 5 (/ 28 (/ (/ 25 -4) -29)))))) 18)))) vaaau (let* () (/ x vpmx)) -2 (+ x 24) x));80;-29;(let* ((vaaau 28) (x 20) (nd (dummy -2))) (begin (set! x (letrec* ((lykbn vaaau)) (if (= lykbn lykbn) -28 (+ (+ -12 (* vaaau (/ (* (+ nd -1) 6) (/ 5 (/ 28 (/ (/ 25 -4) -29)))))) 18))))));47;100;(let* ((vaaau 28) (x 20) (nd (dummy 0))) (begin (set! x (letrec* ((lykbn vaaau)) (if (= lykbn lykbn) -28 (+ (+ -12 (* vaaau (/ (* (+ nd -1) 6) (/ 5 (/ 28 (/ (/ 25 -4) -29)))))) 18))))));47;500;(let* ((vaaau 28) (x 20) (nd (/ (if #f 9 -19) 10))) (begin (set! x (letrec* ((lykbn vaaau)) (if (= lykbn lykbn) -28 (+ (+ -12 (* vaaau (/ (* (+ nd -1) 6) (/ 5 (/ 28 (/ (/ 25 -4) -29)))))) 18))))));51;200
(let ((vi -1) (jufb (if (= 18 -18) (if (= 27 5) 26 (+ 17 8)) (let () -18))) (cvicid -2) (x (/ 21 13)) (nivpb 16)) x);26;18;(let ((jufb (if (= 18 -18) (if (= 27 5) 26 (+ 17 8)) (let () -18))) (x (/ 21 13))) '());23;600;(let ((jufb (if (= 18 -18) (if (= 27 5) 26 (+ 17 8)) (let () -18))) (x (/ 21 13))) '());23;500;(let ((jufb (if (= 18 -18) (if (= 27 5) 26 (+ 17 8)) (let () -18))) (x (/ 21 13))) '());23;100
(let* ((c (if #t (begin 2 (+ 4 -22) 25 -2) (- 1 (+ -27 -13)))) (xczj (+ 17 (if (= 11 -6) 16 (if (< 17 20) -27 8)))) (dqgpff 19) (atui -23) (nj -21) (hlz 2)) (begin (begin (* xczj c) 23 -30 26) (+ (* dqgpff (* 19 (* -30 -2))) nj) (set! dqgpff -29) (set! dqgpff -23) 27 xczj));66;-20;(let* ((nj -21)) '());3;100;(let* ((nj -21)) '());3;400;(let* ((nj -21)) '());3;200
(let* ((ptjfb (+ 20 27)) (adnj -18) (edxa 15)) (if #t (- 14 ptjfb) 13));14;-10;(let* ((edxa 15)) '());3;300;(let* ((edxa 15)) '());3;100;(let* ((edxa 15)) '());3;200
(letrec* ((yzgusb 4) (xpn -9) (vlig 28) (iadyyi 25) (jsm 16)) (if #t (- (begin 29 3) (let ((ekpsq (+ -20 vlig)) (hdlrl yzgusb)) yzgusb)) (/ (- xpn xpn) -18)));27;-2;(letrec* ((yzgusb 4) (vlig 28)) (if #t (- (begin 3) (let ((ekpsq (+ -20 vlig))) yzgusb)) '()));16;100;(letrec* ((yzgusb 4) (vlig 28)) (if #t (- (begin 3) (let ((ekpsq (+ -20 vlig))) yzgusb)) '()));16;200;(letrec* ((yzgusb 4) (vlig 28)) (if #t (- (begin 3) (let ((ekpsq (+ -20 vlig))) yzgusb)) '()));16;200
(let* ((gocseg (if #f (if #f 1 0) (+ 6 25))) (i -30) (ipg (/ -26 -12)) (g 2)) (* -22 gocseg));21;10;(let* ((ipg (/ -26 -12))) '());6;200;(let* ((ipg (/ -26 -12))) '());6;100;(let* ((ipg (/ -26 -12))) '());6;100
(let* ((vdwq (begin 7 12)) (utv 29) (kyfofz -1)) (- -1 -27));10;-14;(let* ((utv 29)) '());3;100;(let* ((utv 29)) '());3;200;(let* ((utv 29)) '());3;200
(let* ((gyokfo 14) (fzdq (* (* 23 17) 29)) (l (* -27 -3)) (avxm -13)) (if #f (- avxm avxm) (* -9 (if (< gyokfo (+ 0 (/ fzdq fzdq))) avxm (- (/ (/ (- 10 avxm) 7) (- (+ -19 (* (* 8 -27) fzdq)) -17)) -6)))));60;-19;(let* ((gyokfo 14) (fzdq (* (* 23 17) 29))) '());10;100;(let* ((gyokfo 14) (fzdq (* (* 23 17) 29))) '());10;100;(let* ((gyokfo 14) (fzdq (* (* 23 17) 29))) '());10;400
(let* ((oprpo -21)) 7);3;-23;(let* ((oprpo -21)) '());3;600;(let* ((oprpo -21)) '());3;100;(let* ((oprpo -21)) '());3;300
(letrec* ((htdo (+ (begin (/ -20 4) 21 -30) -15)) (g (/ (+ 6 -1) 24)) (bpxh (/ 13 17)) (asfh (if #f -19 1)) (ctyzy -9)) (* 5 asfh));31;-12;(letrec* ((asfh (if #f -19 1))) '());6;100;(letrec* ((asfh (if #f -19 1))) '());6;200;(letrec* ((asfh (if #f -19 1))) '());6;300
(let* ((i -16) (dcy 4) (sc 15) (wt (begin 0 2)) (qsg 20) (xqveuz 5)) (let ((bvnbe (/ (+ (* (/ 4 18) qsg) (if #f (+ wt sc) -29)) (if #t -16 (- (- (* -27 28) -28) dcy)))) (ti 29) (drgla 27) (zjls -16)) (* (if (< 28 sc) (* wt wt) (begin (set! i qsg) zjls)) (+ (/ dcy (if #t (+ (/ (- 24 qsg) 7) i) 3)) (/ sc 13)))));81;-15;(let* ((sc 15) (xqveuz 5)) '());4;200;(let* ((sc 15) (xqveuz 5)) '());4;100;(let* ((dcy 4) (sc 15) (wt (begin 2)) (qsg 20) (xqveuz 5)) '());8;200
(let ((j -25) (wufnz 0) (dekdyw 27) (ces (if #t -14 (if #f 4 -30))) (c 11) (mgwjw -29)) -8);14;-13;(let ((mgwjw -29)) '());3;200;(let ((mgwjw -29)) '());3;200;(let ((mgwjw -29)) '());3;300
(let* ((c (let ((gerlrd -11)) (begin gerlrd -15))) (nvf (- (* (begin -10 -10) (begin -18 7)) (if #t 21 (letrec* () -27)))) (hp (if (= 30 9) -13 7)) (elyfin (begin -19 10)) (xhzc -25) (zoikju 1)) (letrec* ((ubbxu 14) (zjljr (- zoikju (- 22 -21))) (g 1) (pqo 28)) 29));45;17;(let* ((c (let () (begin -15))) (nvf (- (* (begin -10) (begin 7)) (if #t 21 (letrec* () -27)))) (zoikju 1)) (letrec* ((zjljr (- zoikju (- 22 -21)))) '()));27;100;(let* ((c (let () (begin -15))) (nvf (- (* (begin -10) (begin 7)) (if #t 21 (letrec* () -27)))) (zoikju 1)) (letrec* ((zjljr (- zoikju (- 22 -21)))) '()));27;200;(let* ((c (let () (begin -15))) (nvf (- (* (begin -10) (begin 7)) (if #t 21 (letrec* () -27)))) (zoikju 1)) (letrec* ((zjljr (- zoikju (- 22 -21)))) '()));27;200
(letrec* ((m (* (begin 4 -22 -4) (begin (begin 7 2) (if #f -12 17) 1 30))) (rmxa (- (begin 3 -25) (- (* (* -25 17) 14) (- (if #f 28 3) -4)))) (gsqj (- -16 -26)) (khqz (begin -14 -29)) (jfflv -10) (ebrkv 25)) (if #f (begin 25 jfflv m m) (begin 24 17 (- 3 (/ (- khqz rmxa) (+ gsqj -22))) 8)));71;11;(letrec* ((ebrkv 25)) '());3;200;(letrec* ((ebrkv 25)) '());3;100;(letrec* ((ebrkv 25)) '());3;300
(letrec* ((yf (if #t -25 -28)) (sjmk -23)) (/ (let ((nkigc (if (< (- sjmk yf) (+ 22 14)) (+ (- -19 yf) sjmk) sjmk)) (uyg (- 21 yf)) (zwxy (/ yf (/ yf -17)))) (if (< zwxy nkigc) (* 29 yf) (+ (if #f -18 (/ (/ sjmk 29) zwxy)) -29))) -8));62;-16;(letrec* ((yf (if #t -25 -28)) (sjmk -23)) (/ (let ((nkigc (if (< (- sjmk yf) (+ 22 14)) (+ (- -19 yf) sjmk) sjmk)) (zwxy (/ yf (/ yf -17)))) (if (< zwxy nkigc) (* 29 yf) (+ (if #f -18 (/ (/ sjmk 29) zwxy)) -29))) -8));58;200;(letrec* ((yf (if #t -25 -28)) (sjmk -23)) (/ (let ((nkigc (if (< (- sjmk yf) (+ 22 14)) (+ (- -19 yf) sjmk) sjmk)) (zwxy (/ yf (/ yf -17)))) (if (< zwxy nkigc) (* 29 yf) (+ (if #f -18 (/ (/ sjmk 29) zwxy)) -29))) -8));58;400;(letrec* ((yf (if #t -25 -28)) (sjmk -23)) (/ (let ((nkigc (if (< (- sjmk yf) (+ 22 14)) (+ (- -19 yf) sjmk) sjmk)) (zwxy (/ yf (/ yf -17)))) (if (< zwxy nkigc) (* 29 yf) (+ (if #f -18 (/ (/ sjmk 29) zwxy)) -29))) -8));58;100
(let* ((vbxbm 16) (fge (+ (if (< -30 -4) -4 (/ 8 1)) (let ((jpuvyj 11)) (* -19 7)))) (nxugw (let* ((d 13)) (if #f 26 12))) (dz (* -20 -29)) (oynkx (if #t -28 -19)) (kduynz -21)) (if #t -27 (if #f dz (- (+ -7 -3) 7))));48;-11;(let* ((fge (+ (if (< -30 -4) -4 (/ 8 1)) (let ((jpuvyj 11)) (* -19 7)))) (nxugw (let* () (if #f 26 12)))) '());25;200;(let* ((fge (+ (if (< -30 -4) -4 (/ 8 1)) (let ((jpuvyj 11)) (* -19 7)))) (nxugw (let* () (if #f 26 12)))) '());25;100;(let* ((fge (+ (if (< -30 -4) -4 (/ 8 1)) (let ((jpuvyj 11)) (* -19 7)))) (nxugw (let* () (if #f 26 12)))) '());25;200
(letrec* ((jg 24) (xbx (begin -9 3 11 2)) (i 19) (v (begin 29 -30)) (kfblj (if #t 24 -22)) (jpt -17)) -5);17;-12;(letrec* ((jg 24)) '());3;200;(letrec* ((jg 24)) '());3;200;(letrec* ((jg 24)) '());3;500
