expression; size; sliced on; concrete slice; concrete size; concrete time (ns) ; sign slice; sign size;sign time ; parity slice; parity size; parity time 
(let* ((c (if #f 1 (/ (* -4 26) -20))) (tbce (/ -29 -3)) (wwby -9) (oqwecs 24)) (/ (+ tbce 27) (/ -23 c)));27;-9;(let* ((oqwecs 24)) '());3;300;(let* ((oqwecs 24)) '());3;100;(let* ((oqwecs 24)) '());3;600
(letrec* ((wiwgt (letrec* ((yxeoob -27)) (/ 4 (- 12 11)))) (zts (/ (let* ((yp 29)) (* -22 -12)) (* 13 (if #t (if #t 8 -15) 7)))) (cjxavn -15) (jvbwyp (- -6 -21)) (cukhez (* 18 -27)) (dhyph 24)) -10);39;2;(letrec* ((wiwgt (letrec* () (/ 4 (- 12 11)))) (zts (/ (let* ((yp 29)) (* -22 -12)) (* 13 (if #t (if #t 8 -15) 7)))) (cjxavn -15)) '());29;1500;(letrec* ((wiwgt (letrec* () (/ 4 (- 12 11)))) (zts (/ (let* ((yp 29)) (* -22 -12)) (* 13 (if #t (if #t 8 -15) 7)))) (cjxavn -15)) '());29;600;(letrec* ((wiwgt (letrec* () (/ 4 (- 12 11)))) (zts (/ (let* ((yp 29)) (* -22 -12)) (* 13 (if #t (if #t 8 -15) 7)))) (cjxavn -15)) '());29;300
(letrec* ((ooick 9) (myc -18) (smy (+ 20 15)) (wwfq -11)) (+ (* (if (< (- -10 ooick) (- -7 (+ (* 0 myc) wwfq))) (begin -21 -16 8) (+ (/ (if #t smy myc) wwfq) -4)) (if (= smy -25) (* myc ooick) (/ myc -15))) (- 20 (* (let* ((snjj smy)) 20) (begin 4 (* ooick smy) -10)))));71;2;(letrec* ((ooick 9) (myc -18) (smy (+ 20 15)) (wwfq -11)) (+ (* (if (< (- -10 ooick) (- -7 (+ (* 0 myc) wwfq))) (begin 8) (+ (/ (if #t smy myc) wwfq) -4)) (if (= smy -25) (* myc ooick) (/ myc -15))) (- 20 (* (let* () 20) (begin -10)))));63;100;(letrec* ((ooick 9) (myc -18) (smy (+ 20 15)) (wwfq -11)) (+ (* (if (< (- -10 ooick) (- -7 (+ (* 0 myc) wwfq))) (begin 8) (+ (/ (if #t smy myc) wwfq) -4)) (if (= smy -25) (* myc ooick) (/ myc -15))) (- 20 (* (let* () 20) (begin -10)))));63;200;(letrec* ((ooick 9) (myc -18) (smy (+ 20 15)) (wwfq -11)) (+ (* (if (< (- -10 ooick) (- -7 (+ (* 0 myc) wwfq))) (begin 8) (+ (/ (if #t smy myc) wwfq) -4)) (if (= smy -25) (* myc ooick) (/ myc -15))) (- 20 (* (let* () 20) (begin -10)))));63;100
(letrec* ((aq -4) (xh 2) (xql (* (- -24 27) (begin -11 -16))) (vtll (if (< -17 17) (if #t -23 -25) 4)) (stwwjd 3) (pmhm 14)) -25);25;-23;(letrec* ((xh 2)) '());3;300;(letrec* ((xh 2)) '());3;400;(letrec* ((xh 2)) '());3;200
(letrec* ((yq 13)) (begin (set! yq 12) yq (set! yq (if (< yq 20) yq (if #t -26 (* 19 25)))) -23 (set! yq yq) yq));24;-9;(letrec* ((yq 13)) (begin (set! yq 12)));5;700;(letrec* ((yq 13)) (begin (set! yq 12) (set! yq (if (< yq 20) yq (if #t -26 (* 19 25))))));19;300;(letrec* ((yq 13)) (begin (set! yq (if (< yq 20) yq (if #t -26 (* 19 25)))) (set! yq yq)));19;300
(let* ((sjdh 8)) (* (/ (- 28 -23) (* -7 sjdh)) sjdh));15;9;(let* ((sjdh 8)) '());3;200;(let* ((sjdh 8)) '());3;300;(let* ((sjdh 8)) '());3;200
(let* ((kjs (begin 14 -22 11)) (aughf (- (begin 26 5) (/ (- (if #t 13 -19) 15) (+ 26 -11)))) (dyya (/ (if (< 24 -12) 20 (- -1 29)) (begin 22 17))) (i (- 28 -22)) (stsc -5) (zdgdz 11)) (let* ((erjgg (if (= (- (- 2 (/ aughf (/ kjs 27))) (/ -25 dyya)) 13) (if (< 12 25) (+ zdgdz i) kjs) 21)) (tbpwdr (+ -18 28)) (pvctvm (- (- -26 zdgdz) 11)) (qacire -14)) (+ stsc aughf)));92;29;(let* ((zdgdz 11)) (let* ((qacire -14)) '()));5;200;(let* ((zdgdz 11)) (let* ((qacire -14)) '()));5;200;(let* ((zdgdz 11)) (let* ((qacire -14)) '()));5;200
(let* ((s 13) (cw (+ -3 -19)) (fv 26)) -29);8;-25;(let* ((fv 26)) '());3;200;(let* ((fv 26)) '());3;400;(let* ((fv 26)) '());3;400
(let* ((kn -18) (zyc (begin 14 23 -13)) (bzudwj 28) (qmqg (/ (if #t 30 18) (if #t 9 4))) (n 13) (qlplk 5)) qlplk);20;-22;(let* ((bzudwj 28)) '());3;500;(let* ((bzudwj 28)) '());3;300;(let* ((bzudwj 28)) '());3;200
(let* ((bb 28) (b (let* ((wdowj -16)) (* wdowj (* (/ (- wdowj 14) wdowj) (+ wdowj -16))))) (h (- (- -19 -20) (- -28 -28))) (hzkul (if #f 11 7)) (mlktb -8)) h);36;28;(let* ((b (let* ((wdowj -16)) (* wdowj (* (/ (- wdowj 14) wdowj) (+ wdowj -16))))) (hzkul (if #f 11 7))) '());24;200;(let* ((b (let* ((wdowj -16)) (* wdowj (* (/ (- wdowj 14) wdowj) (+ wdowj -16))))) (hzkul (if #f 11 7))) '());24;500;(let* ((b (let* ((wdowj -16)) (* wdowj (* (/ (- wdowj 14) wdowj) (+ wdowj -16))))) (hzkul (if #f 11 7))) '());24;300
(let* ((tpmvx (letrec* () -23)) (xdubd 26) (mctiv 5)) 30);6;21;(let* ((tpmvx (letrec* () -23))) '());4;200;(let* ((tpmvx (letrec* () -23))) '());4;300;(let* ((tpmvx (letrec* () -23))) '());4;100
(letrec* ((zpny 0) (fqre (let* () -2)) (pygq -24) (frozt -30)) (+ -6 (+ -22 fqre)));13;19;(letrec* ((fqre (let* () -2)) (frozt -30)) '());5;800;(letrec* ((fqre (let* () -2)) (frozt -30)) '());5;300;(letrec* ((fqre (let* () -2)) (frozt -30)) '());5;100
(let* ((lsjpzc (if #f (/ 29 -12) (begin 22 6))) (jwhgha (begin -9 -9 1 30)) (suryrf -25) (w 13) (dyf -28) (j -2)) (/ j 14));23;1;(let* ((jwhgha (begin 30))) '());4;200;(let* ((jwhgha (begin 30))) '());4;200;(let* ((jwhgha (begin 30))) '());4;200
